id,name,start_date,end_date,created_at,updated_at
90097,"Liaison Judge for Welsh Language","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90098,"Regional Surveyor","2023-03-30","2025-12-09","2024-03-28T12:39:48Z","2026-01-07T01:00:16Z"
90099,"Cross-Jurisdictional Tutor (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90100,"Media and Communications List Judge","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90101,"Resident Immigration Judge","2023-03-30","2025-02-26","2024-03-28T12:39:48Z","2025-02-27T01:00:46Z"
90102,"Director of Civil Training (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90103,"Nominated JOH for Whistleblowing and Grievance","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90104,"Director of Criminal Training (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90105,"Pool of Judges","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90106,"Senior Presiding Judge","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90107,"Director of Family Training (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90108,"President of the VTE","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90109,"Vice President Court of Appeal Civil","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90110,"Director of International Training (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90111,"Regional Cost Judge","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90112,"Vice President Court of Appeal Criminal","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
90113,"Director of Magistrates’ Training (JC)","2023-03-30",,"2024-03-28T12:39:48Z","2024-03-28T12:39:48Z"
